SupplierID	MDA_Round	Sample Date	WSI_qPCR Ct	WSI_qPCR_copies/ul	Cleaned_fastq_id	meancov.all	cov.100	cov.10	cov.8	cov.5	cov.2	For_Phylo	Village	Type
SamoaD	-	-	-	-	-	-	-	-	-	-	-	yes	-	-
Gauthier	-	-	-	-	-	-	-	-	-	-	-	yes	-	-
Fribourg-Blanc	-	-	-	-	-	-	-	-	-	-	-	yes	-	-
Bosnia A 	-	-	-	-	-	-	-	-	-	-	-	yes	-	-
PNGL_R2-SR001B	Round2	2013	23.8	13003.2	27455_1#33.ds2500000-reads	26.2	0.2	94.6	97	99	99.7	yes	Missing	JG8
PNGL_R2-64919	Round2	2013	27.2	1662.9	27455_1#46.ds2500000-reads	27.2	0.9	95	97.2	99	99.7	yes	Missing	JG8
PNGL_R3-Sal007	Round3	2014	26.9	1968.3	29007_2#4.ds2500000-reads	21.1	0.1	91.6	95.7	98.9	99.7	yes	Sale	TD6
PNGL_R7-Kun2-001	Round7	2016	26.1	3103.2	27455_1#38.ds2500000-reads	24.4	0.3	93.1	96.3	98.8	99.8	yes	Kunaye2	SE7
PNGL_R2-106190	Round2	2013	26.3	2878.5	27455_1#39.ds1965850-reads	22.5	0.1	90.5	94.7	98.2	99.6	yes	Missing	JG8
PNGL_R6-SAM1-001	Round6	2015	25.8	3848.8	27455_1#36.ds2258841-reads	21.4	0.1	89.1	93.7	97.8	99.5	yes	Samo 1	JG8
PNGL_C5-SAM001	Round5	2015	25.4	4886.4	27455_1#35.ds1998228-reads	21	0.1	88.6	93.3	97.7	99.5	yes	Samo 1	JG8
PNGL_R8-KOS-004	Round8	2016	26.7	2167.2	27455_1#43.ds2185624-reads	21.6	0.2	88.9	93.5	97.7	99.5	yes	Kosmayun	JG8
PNGL_R8-KOS-007	Round8	2016	28.1	953.9	29007_2#11.ds2500000-reads	17.2	0.1	83.2	90.8	97.4	99.5	yes	Kosmayun	JG8
PNGL_R7-Put1-002	Round7	2016	28.2	899.5	29007_2#12.ds2500000-reads	16.6	0	81.5	89.5	97	99.5	yes	Putput 1	JG8
PNGL_R8-LMC-004	Round8	2016	24.9	6539.5	27455_1#34.ds1616775-reads	17.3	0.1	80.3	87.9	95.5	99.2	yes	ZUEN	JG8
PNGL_R8-MAZ-003	Round8	2016	26.3	2831.0	27455_1#40.ds1407171-reads	15	0	71.4	81.2	92.1	98.5	yes	Mazuz	JG8
PNGL_R3-Zu003	Round3	2014	26.8	2042.3	27455_1#44.ds1444033-reads	14.2	0	67.9	78.4	90.7	98.1	yes	Zuen	JG8
PNGL_R7-Kun2-001B	Round7	2016	25.9	3652.4	27455_1#37.ds1380278-reads	13.6	0	66.1	77.2	90.3	98.2	yes	Kunaye2	SE7
PNGL_R6-HUR-007	Round6	2015	28.7	648.5	29007_2#17.ds2500000-reads	11.7	0	57	70.7	88.5	98	yes	Hurtol	JG8
PNGL_C5-ZUE007	Round5	2015	28.5	732.7	29007_2#15.ds2500000-reads	12.3	0.5	56.9	70.7	88.4	97.9	yes	Zuen	JG8
PNGL_R7-Lan-005	Round7	2016	28.6	695.8	29007_2#16.ds2500000-reads	11.9	0	57.9	71.4	88.3	98.1	yes	Landolam	JG8
PNGL_R4-ZU-021	Round4	2014	28.9	576.0	29007_2#19.ds2500000-reads	10.7	0	51	65.5	85.1	97.2	yes	Zuen	JG8
PNGL_R4-ZU-015	Round4	2014	26.5	2422.3	27455_1#41.ds1069339-reads	10.8	0	51	64	82.1	95.9	yes	Zuen	JG8
PNGL_R8-LMC-012	Round8	2016	28.5	744.3	29007_2#14.ds2490728-reads	10.6	0.4	46.1	60.8	81.9	96.7	yes	Londolovit	SE7
PNGL_R6-LES004	Round6	2015	29.7	354.1	29007_3#12.ds2500000-reads	10	0	46.5	61	81.4	96.2	yes	Lissel 	JG8
PNGL_R2-SR003B	Round2	2013	26.6	2348.8	27455_1#42.ds1128448-reads	10.5	0	49	62.4	80.9	95.1	yes	Missing	JG8
PNGL_R6-LES-005	Round6	2015	27.6	1241.9	27455_1#48.ds1025522-reads	10.4	0	48.7	62	80.7	95.4	yes	Lissel 	JG8
PNGL_R2-Put1045	Round2	2013	27.5	1327.0	27455_1#47.ds43500-reads	-	-	-	-	-	-	no	Putput 1	JG8
PNGL_R3-Mat007	Round3	2014	28.8	628.9	29007_2#18.ds2500000-reads	20.8	0.9	30.8	46.5	73.8	94.7	no	Matakues	JG8
PNGL_R2-SAL033A	Round2	2013	29.0	551.4	29007_2#20.ds1761857-reads	7	0	24.4	38.2	64.5	91.3	no	Sale	JG8
PNGL_R3-Le002	Round3	2014	30.1	282.6	29007_2#5.ds2500000-reads	41.4	0.9	21.2	35.5	63.9	92.3	no	Lissel 	SE7
PNGL_R6-KO5002	Round6	2015	28.2	896.3	29007_2#13.ds1894680-reads	6.9	0	24.3	37.8	63.6	90.6	no	Kosmayun	JG8
PNGL_R2-SR49	Round2	2013	30.6	207.4	29007_3#19.ds1680417-reads	6.5	0	21.8	34.8	59.4	88.7	no	Missing	TD6
PNGL_R8-WUR-001	Round8	2016	29.0	540.4	27455_2#48.ds619592-reads	6.4	0	20.4	33.4	59.3	89.2	no	Wurtol	JG8
PNGL_C5-TAL004	Round5	2015	31.5	117.3	29007_2#6.ds2500000-reads	29.9	0.9	6.3	12.8	34.2	76.8	no	Talies	JG8
PNGL_R7-Kos-003	Round7	2016	31.7	104.6	29007_3#20.ds659202-reads	3	0	3.3	8.1	23.7	65.3	no	Kosmayun	JG8
PNGL_R8-LMC-008	Round8	2016	30.2	265.3	27455_3#48.ds361398-reads	4.5	0.7	3	6	17	56	no	Kunaye2	JG8
PNGL_R8-LMC-015	Round8	2016	30.9	174.9	27455_4#48.ds292874-reads	2.2	0	2	5.1	15.2	51.5	no	Kunaye1	SE7
PNGL_R2-ST48	Round2	2013	31.2	147.5	27455_5#46.ds284029-reads	1.7	0	1.4	3	8.9	40.2	no	Missing	TD6
PNGL_R2-SR46	Round2	2013	31.4	128.8	29007_3#13.ds376555-reads	1.6	0	1.1	2.3	7.7	39.2	no	Missing	TD6
PNGL_R7-Kos-004	Round7	2016	32.3	74.8	29007_3#14.ds247766-reads	1	0	0.2	0.8	4.1	29	no	Kosmayun	JG8
